# step kinetic_energy potential_energy total_energy temperature
0.00000000 294.94845890 -565.00258818 -270.05412928 1.57305845
1.00000000 294.89482795 -564.94895748 -270.05412953 1.57277242
2.00000000 294.83911155 -564.89323917 -270.05412762 1.57247526
3.00000000 294.78131458 -564.83544013 -270.05412555 1.57216701
4.00000000 294.72143848 -564.77556493 -270.05412644 1.57184767
5.00000000 294.65948827 -564.71361346 -270.05412520 1.57151727
6.00000000 294.59546941 -564.64959191 -270.05412250 1.57117584
7.00000000 294.52939379 -564.58351226 -270.05411847 1.57082343
8.00000000 294.46126822 -564.51538762 -270.05411941 1.57046010
9.00000000 294.39110759 -564.44523331 -270.05412572 1.57008591
10.00000000 294.31892000 -564.37304705 -270.05412705 1.56970091
11.00000000 294.24470081 -564.29882759 -270.05412678 1.56930507
12.00000000 294.16845974 -564.22258381 -270.05412407 1.56889845
13.00000000 294.09020297 -564.14432655 -270.05412358 1.56848108
14.00000000 294.00993432 -564.06405740 -270.05412308 1.56805298
15.00000000 293.92766829 -563.98178576 -270.05411747 1.56761423
16.00000000 293.84341563 -563.89753354 -270.05411791 1.56716488
17.00000000 293.75718172 -563.81129867 -270.05411695 1.56670497
18.00000000 293.66897438 -563.72309076 -270.05411639 1.56623453
19.00000000 293.57880647 -563.63292037 -270.05411389 1.56575363
20.00000000 293.48668804 -563.54080135 -270.05411331 1.56526234
21.00000000 293.39262443 -563.44673713 -270.05411270 1.56476066
22.00000000 293.29662615 -563.35073824 -270.05411208 1.56424867
23.00000000 293.19871262 -563.25282692 -270.05411430 1.56372647
24.00000000 293.09889482 -563.15300848 -270.05411366 1.56319411
25.00000000 292.99718039 -563.05129644 -270.05411605 1.56265163
26.00000000 292.89358086 -562.94769623 -270.05411537 1.56209910
27.00000000 292.78810299 -562.84221767 -270.05411468 1.56153655
28.00000000 292.68076277 -562.73487789 -270.05411512 1.56096407
29.00000000 292.57157533 -562.62568970 -270.05411437 1.56038174
30.00000000 292.46054913 -562.51466277 -270.05411364 1.55978960
31.00000000 292.34769771 -562.40181027 -270.05411255 1.55918772
32.00000000 292.23304329 -562.28715733 -270.05411404 1.55857623
33.00000000 292.11659916 -562.17070955 -270.05411039 1.55795520
34.00000000 291.99837550 -562.05247933 -270.05410382 1.55732467
35.00000000 291.87838226 -561.93248528 -270.05410302 1.55668471
36.00000000 291.75662738 -561.81072958 -270.05410220 1.55603535
37.00000000 291.63312500 -561.68722637 -270.05410137 1.55537667
38.00000000 291.50788950 -561.56199003 -270.05410053 1.55470874
39.00000000 291.38093550 -561.43503517 -270.05409967 1.55403166
40.00000000 291.25228418 -561.30638362 -270.05409944 1.55334552
41.00000000 291.12195058 -561.17604914 -270.05409856 1.55265040
42.00000000 290.98994563 -561.04404223 -270.05409660 1.55194638
43.00000000 290.85628483 -560.91038051 -270.05409569 1.55123352
44.00000000 290.72098187 -560.77507663 -270.05409476 1.55051190
45.00000000 290.58405732 -560.63815526 -270.05409794 1.54978164
46.00000000 290.44553798 -560.49963609 -270.05409811 1.54904287
47.00000000 290.30543874 -560.35953395 -270.05409521 1.54829567
48.00000000 290.16377227 -560.21786376 -270.05409149 1.54754012
49.00000000 290.02055222 -560.07464272 -270.05409050 1.54677628
50.00000000 289.87579090 -559.92988063 -270.05408973 1.54600422
51.00000000 289.72951118 -559.78360195 -270.05409077 1.54522406
52.00000000 289.58173933 -559.63583188 -270.05409256 1.54443594
53.00000000 289.43248733 -559.48657886 -270.05409152 1.54363993
54.00000000 289.28177048 -559.33586687 -270.05409639 1.54283611
55.00000000 289.12960674 -559.18370207 -270.05409533 1.54202457
56.00000000 288.97600581 -559.03010008 -270.05409427 1.54120536
57.00000000 288.82098606 -558.87507925 -270.05409319 1.54037859
58.00000000 288.66457106 -558.71866690 -270.05409584 1.53954438
59.00000000 288.50677954 -558.56087428 -270.05409474 1.53870282
60.00000000 288.34763996 -558.40173464 -270.05409468 1.53785408
61.00000000 288.18717939 -558.24127848 -270.05409908 1.53699829
62.00000000 288.02540804 -558.07950253 -270.05409449 1.53613551
63.00000000 287.86233735 -557.91643070 -270.05409335 1.53526580
64.00000000 287.69798807 -557.75207453 -270.05408646 1.53438927
65.00000000 287.53237991 -557.58646521 -270.05408530 1.53350603
66.00000000 287.36552616 -557.41961030 -270.05408414 1.53261614
67.00000000 287.19744693 -557.25152989 -270.05408296 1.53171972
68.00000000 287.02816585 -557.08224809 -270.05408223 1.53081688
69.00000000 286.85770328 -556.91178432 -270.05408104 1.52990775
70.00000000 286.68607720 -556.74015650 -270.05407930 1.52899241
71.00000000 286.51330832 -556.56738641 -270.05407808 1.52807098
72.00000000 286.33941665 -556.39349351 -270.05407686 1.52714356
73.00000000 286.16442315 -556.21849879 -270.05407564 1.52621026
74.00000000 285.98835140 -556.04242532 -270.05407392 1.52527121
75.00000000 285.81122264 -555.86529532 -270.05407268 1.52432652
76.00000000 285.63305584 -555.68712728 -270.05407143 1.52337630
77.00000000 285.45387252 -555.50794269 -270.05407017 1.52242065
78.00000000 285.27369879 -555.32776390 -270.05406511 1.52145973
79.00000000 285.09256861 -555.14662915 -270.05406054 1.52049370
80.00000000 284.91049934 -554.96455860 -270.05405926 1.51952266
81.00000000 284.72750357 -554.78155965 -270.05405608 1.51854669
82.00000000 284.54361075 -554.59766949 -270.05405874 1.51756592
83.00000000 284.35885200 -554.41290940 -270.05405740 1.51658054
84.00000000 284.17324224 -554.22729833 -270.05405609 1.51559063
85.00000000 283.98679345 -554.04084756 -270.05405411 1.51459623
86.00000000 283.79954324 -553.85358960 -270.05404636 1.51359756
87.00000000 283.61151342 -553.66555886 -270.05404544 1.51259474
88.00000000 283.42272012 -553.47676478 -270.05404466 1.51158784
89.00000000 283.23318987 -553.28723352 -270.05404365 1.51057701
90.00000000 283.04293697 -553.09697928 -270.05404232 1.50956233
91.00000000 282.85197997 -552.90602095 -270.05404098 1.50854389
92.00000000 282.66034598 -552.71438180 -270.05403581 1.50752185
93.00000000 282.46805809 -552.52209256 -270.05403447 1.50649631
94.00000000 282.27514217 -552.32918114 -270.05403897 1.50546742
95.00000000 282.08162139 -552.13565901 -270.05403762 1.50443531
96.00000000 281.88751603 -551.94155287 -270.05403684 1.50340009
97.00000000 281.69285514 -551.74688850 -270.05403335 1.50236189
98.00000000 281.49766334 -551.55169592 -270.05403258 1.50132087
99.00000000 281.30196557 -551.35600071 -270.05403513 1.50027715
100.00000000 281.10578010 -551.15981387 -270.05403377 1.49923083
101.00000000 280.90912310 -550.96315550 -270.05403241 1.49818199
102.00000000 280.71202139 -550.76605009 -270.05402871 1.49713078
103.00000000 280.51451409 -550.56853390 -270.05401981 1.49607741
104.00000000 280.31662772 -550.37064470 -270.05401698 1.49502201
105.00000000 280.11838169 -550.17240201 -270.05402032 1.49396470
106.00000000 279.91979645 -549.97381373 -270.05401728 1.49290558
107.00000000 279.72088930 -549.77490663 -270.05401732 1.49184474
108.00000000 279.52168222 -549.57569749 -270.05401527 1.49078231
109.00000000 279.32219633 -549.37621040 -270.05401407 1.48971838
110.00000000 279.12245444 -549.17646689 -270.05401246 1.48865309
111.00000000 278.92247777 -548.97648885 -270.05401108 1.48758655
112.00000000 278.72229225 -548.77630031 -270.05400806 1.48651889
113.00000000 278.52192357 -548.57593168 -270.05400811 1.48545026
114.00000000 278.32139826 -548.37540850 -270.05401024 1.48438079
115.00000000 278.12074027 -548.17474797 -270.05400770 1.48331061
116.00000000 277.91997248 -547.97397481 -270.05400233 1.48223985
117.00000000 277.71912156 -547.77312192 -270.05400036 1.48116865
118.00000000 277.51820660 -547.57220560 -270.05399899 1.48009710
119.00000000 277.31724616 -547.37124378 -270.05399762 1.47902531
120.00000000 277.11626704 -547.17026572 -270.05399868 1.47795342
121.00000000 276.91529794 -546.96929123 -270.05399330 1.47688159
122.00000000 276.71435930 -546.76835123 -270.05399194 1.47580992
123.00000000 276.51347495 -546.56746573 -270.05399078 1.47473853
124.00000000 276.31268275 -546.36667333 -270.05399058 1.47366764
125.00000000 276.11200504 -546.16599116 -270.05398612 1.47259736
126.00000000 275.91145720 -545.96543699 -270.05397979 1.47152777
127.00000000 275.71105829 -545.76503673 -270.05397844 1.47045898
128.00000000 275.51083896 -545.56481532 -270.05397637 1.46939114
129.00000000 275.31082255 -545.36479758 -270.05397503 1.46832439
130.00000000 275.11102019 -545.16499395 -270.05397376 1.46725877
131.00000000 274.91145508 -544.96542753 -270.05397244 1.46619443
132.00000000 274.71214874 -544.76611986 -270.05397112 1.46513146
133.00000000 274.51312701 -544.56709648 -270.05396946 1.46407001
134.00000000 274.31442230 -544.36838488 -270.05396258 1.46301025
135.00000000 274.11605947 -544.17002397 -270.05396449 1.46195232
136.00000000 273.91805691 -543.97201659 -270.05395967 1.46089630
137.00000000 273.72044537 -543.77441074 -270.05396537 1.45984238
138.00000000 273.52324414 -543.57720780 -270.05396366 1.45879064
139.00000000 273.32646275 -543.38042512 -270.05396237 1.45774113
140.00000000 273.13012272 -543.18408370 -270.05396099 1.45669399
141.00000000 272.93424953 -542.98821072 -270.05396119 1.45564933
142.00000000 272.73887722 -542.79283509 -270.05395787 1.45460735
143.00000000 272.54402454 -542.59798115 -270.05395661 1.45356813
144.00000000 272.34970362 -542.40365939 -270.05395578 1.45253175
145.00000000 272.15593628 -542.20989081 -270.05395453 1.45149833
146.00000000 271.96274482 -542.01670166 -270.05395684 1.45046797
147.00000000 271.77015079 -541.82410639 -270.05395561 1.44944080
148.00000000 271.57817204 -541.63212643 -270.05395439 1.44841692
149.00000000 271.38683502 -541.44078480 -270.05394977 1.44739645
150.00000000 271.19617459 -541.25011922 -270.05394462 1.44637960
151.00000000 271.00621080 -541.06015636 -270.05394556 1.44536646
152.00000000 270.81695646 -540.87090268 -270.05394622 1.44435710
153.00000000 270.62842803 -540.68237308 -270.05394505 1.44335162
154.00000000 270.44064505 -540.49458785 -270.05394279 1.44235011
155.00000000 270.25363259 -540.30757499 -270.05394240 1.44135271
156.00000000 270.06740826 -540.12134923 -270.05394097 1.44035951
157.00000000 269.88198741 -539.93592725 -270.05393984 1.43937060
158.00000000 269.69739506 -539.75133411 -270.05393905 1.43838611
159.00000000 269.51365088 -539.56758882 -270.05393794 1.43740614
160.00000000 269.33077065 -539.38470403 -270.05393338 1.43643078
161.00000000 269.14877859 -539.20270974 -270.05393116 1.43546015
162.00000000 268.96769021 -539.02162030 -270.05393009 1.43449435
163.00000000 268.78751944 -538.84144847 -270.05392903 1.43353344
164.00000000 268.60828493 -538.66221291 -270.05392798 1.43257752
165.00000000 268.43000510 -538.48393206 -270.05392695 1.43162669
166.00000000 268.25271430 -538.30663562 -270.05392131 1.43068114
167.00000000 268.07643603 -538.13036008 -270.05392406 1.42974099
168.00000000 267.90117481 -537.95509519 -270.05392038 1.42880627
169.00000000 267.72694827 -537.78086924 -270.05392097 1.42787706
170.00000000 267.55377196 -537.60769266 -270.05392071 1.42695345
171.00000000 267.38166970 -537.43559401 -270.05392431 1.42603557
172.00000000 267.21065706 -537.26458045 -270.05392339 1.42512350
173.00000000 267.04073807 -537.09466055 -270.05392248 1.42421727
174.00000000 266.87192897 -536.92585056 -270.05392159 1.42331695
175.00000000 266.70424572 -536.75816644 -270.05392072 1.42242264
176.00000000 266.53772167 -536.59164394 -270.05392228 1.42153452
177.00000000 266.37237960 -536.42630068 -270.05392108 1.42065269
178.00000000 266.20821697 -536.26213723 -270.05392026 1.41977716
179.00000000 266.04524115 -536.09916062 -270.05391946 1.41890795
180.00000000 265.88346667 -535.93738536 -270.05391868 1.41804516
181.00000000 265.72291155 -535.77682629 -270.05391474 1.41718886
182.00000000 265.56359654 -535.61750675 -270.05391021 1.41633918
183.00000000 265.40553139 -535.45944088 -270.05390949 1.41549617
184.00000000 265.24872252 -535.30263131 -270.05390879 1.41465985
185.00000000 265.09320016 -535.14711259 -270.05391243 1.41383040
186.00000000 264.93897685 -534.99288862 -270.05391177 1.41300788
187.00000000 264.78604865 -534.83995879 -270.05391014 1.41219226
188.00000000 264.63442757 -534.68833710 -270.05390952 1.41138361
189.00000000 264.48413259 -534.53804493 -270.05391234 1.41058204
190.00000000 264.33518309 -534.38909996 -270.05391686 1.40978764
191.00000000 264.18758648 -534.24150134 -270.05391486 1.40900046
192.00000000 264.04135380 -534.09526706 -270.05391325 1.40822055
193.00000000 263.89649023 -533.95040298 -270.05391275 1.40744795
194.00000000 263.75299897 -533.80690933 -270.05391036 1.40668266
195.00000000 263.61089981 -533.66480744 -270.05390763 1.40592480
196.00000000 263.47020037 -533.52410785 -270.05390748 1.40517440
197.00000000 263.33089883 -533.38480590 -270.05390707 1.40443146
198.00000000 263.19300646 -533.24691334 -270.05390688 1.40369603
199.00000000 263.05653877 -533.11044110 -270.05390233 1.40296821
200.00000000 262.92149990 -532.97540140 -270.05390149 1.40224800
201.00000000 262.78788927 -532.84179046 -270.05390119 1.40153541
202.00000000 262.65571527 -532.70961761 -270.05390234 1.40083048
203.00000000 262.52498408 -532.57888616 -270.05390209 1.40013325
204.00000000 262.39570923 -532.44960477 -270.05389554 1.39944378
205.00000000 262.26790000 -532.32179876 -270.05389876 1.39876213
206.00000000 262.14155585 -532.19545157 -270.05389572 1.39808830
207.00000000 262.01668464 -532.07057930 -270.05389466 1.39742232
208.00000000 261.89329215 -531.94718845 -270.05389630 1.39676422
209.00000000 261.77138300 -531.82527981 -270.05389681 1.39611404
210.00000000 261.65095914 -531.70485276 -270.05389362 1.39547178
211.00000000 261.53201937 -531.58591377 -270.05389441 1.39483744
212.00000000 261.41456922 -531.46847076 -270.05390154 1.39421104
213.00000000 261.29860673 -531.35250829 -270.05390156 1.39359257
214.00000000 261.18413796 -531.23803517 -270.05389721 1.39298207
215.00000000 261.07116402 -531.12506130 -270.05389728 1.39237954
216.00000000 260.95967324 -531.01357063 -270.05389739 1.39178492
217.00000000 260.84966795 -530.90356726 -270.05389931 1.39119823
218.00000000 260.74114797 -530.79504743 -270.05389947 1.39061946
219.00000000 260.63411066 -530.68801031 -270.05389965 1.39004859
220.00000000 260.52855501 -530.58245488 -270.05389987 1.38948563
221.00000000 260.42447957 -530.47837967 -270.05390011 1.38893056
222.00000000 260.32188244 -530.37578282 -270.05390038 1.38838337
223.00000000 260.22076131 -530.27466199 -270.05390067 1.38784406
224.00000000 260.12112737 -530.17503552 -270.05390815 1.38731268
225.00000000 260.02297739 -530.07688589 -270.05390850 1.38678921
226.00000000 259.92629967 -529.98020764 -270.05390797 1.38627360
227.00000000 259.83109707 -529.88500261 -270.05390554 1.38576585
228.00000000 259.73735930 -529.79126527 -270.05390597 1.38526592
229.00000000 259.64507804 -529.69898678 -270.05390874 1.38477375
230.00000000 259.55425038 -529.60815892 -270.05390854 1.38428934
231.00000000 259.46486711 -529.51877616 -270.05390905 1.38381262
232.00000000 259.37692440 -529.43083753 -270.05391313 1.38334360
233.00000000 259.29041830 -529.34433132 -270.05391303 1.38288223
234.00000000 259.20533720 -529.25925081 -270.05391362 1.38242847
235.00000000 259.12167639 -529.17559033 -270.05391394 1.38198227
236.00000000 259.03943502 -529.09334689 -270.05391186 1.38154365
237.00000000 258.95860346 -529.01251594 -270.05391248 1.38111255
238.00000000 258.87916631 -528.93307948 -270.05391317 1.38068889
239.00000000 258.80111979 -528.85503202 -270.05391223 1.38027264
240.00000000 258.72445849 -528.77836794 -270.05390944 1.37986378
241.00000000 258.64916963 -528.70308244 -270.05391281 1.37946224
242.00000000 258.57524348 -528.62915727 -270.05391378 1.37906797
243.00000000 258.50266405 -528.55657864 -270.05391459 1.37868087
244.00000000 258.43141641 -528.48533182 -270.05391541 1.37830089
245.00000000 258.36149946 -528.41542525 -270.05392579 1.37792800
246.00000000 258.29290473 -528.34683171 -270.05392699 1.37756216
247.00000000 258.22561054 -528.27953841 -270.05392788 1.37720326
248.00000000 258.15960474 -528.21353627 -270.05393152 1.37685123
249.00000000 258.09487595 -528.14880760 -270.05393165 1.37650601
250.00000000 258.03141541 -528.08534913 -270.05393372 1.37616755
251.00000000 257.96921115 -528.02314417 -270.05393302 1.37583579
252.00000000 257.90824317 -527.96217717 -270.05393401 1.37551063
253.00000000 257.84850310 -527.90243766 -270.05393457 1.37519202
254.00000000 257.78998549 -527.84392275 -270.05393726 1.37487992
255.00000000 257.73266896 -527.78660726 -270.05393829 1.37457423
256.00000000 257.67653070 -527.73047004 -270.05393934 1.37427483
257.00000000 257.62156034 -527.67550227 -270.05394193 1.37398166
258.00000000 257.56774307 -527.62168608 -270.05394301 1.37369463
259.00000000 257.51505951 -527.56900361 -270.05394410 1.37341365
260.00000000 257.46349910 -527.51744334 -270.05394424 1.37313866
261.00000000 257.41304629 -527.46699165 -270.05394536 1.37286958
262.00000000 257.36368424 -527.41762799 -270.05394375 1.37260632
263.00000000 257.31539699 -527.36934188 -270.05394490 1.37234878
264.00000000 257.26816808 -527.32211353 -270.05394545 1.37209690
265.00000000 257.22198121 -527.27592782 -270.05394661 1.37185057
266.00000000 257.17682047 -527.23077073 -270.05395026 1.37160971
267.00000000 257.13266917 -527.18662061 -270.05395145 1.37137424
268.00000000 257.08951968 -527.14347825 -270.05395857 1.37114410
269.00000000 257.04735944 -527.10132143 -270.05396199 1.37091925
270.00000000 257.00616136 -527.06012314 -270.05396178 1.37069953
271.00000000 256.96590374 -527.01986674 -270.05396300 1.37048482
272.00000000 256.92657336 -526.98053159 -270.05395823 1.37027506
273.00000000 256.88815533 -526.94211351 -270.05395818 1.37007016
274.00000000 256.85063007 -526.90458897 -270.05395889 1.36987003
275.00000000 256.81397933 -526.86794011 -270.05396079 1.36967456
276.00000000 256.77818584 -526.83215184 -270.05396600 1.36948366
277.00000000 256.74323648 -526.79720936 -270.05397288 1.36929726
278.00000000 256.70911504 -526.76308669 -270.05397165 1.36911528
279.00000000 256.67580048 -526.72977500 -270.05397452 1.36893760
280.00000000 256.64327291 -526.69725209 -270.05397918 1.36876412
281.00000000 256.61151699 -526.66549561 -270.05397862 1.36859476
282.00000000 256.58051485 -526.63449470 -270.05397985 1.36842941
283.00000000 256.55024892 -526.60423461 -270.05398570 1.36826799
284.00000000 256.52070096 -526.57469221 -270.05399125 1.36811041
285.00000000 256.49185133 -526.54584715 -270.05399582 1.36795654
286.00000000 256.46367955 -526.51767644 -270.05399688 1.36780629
287.00000000 256.43616767 -526.49016186 -270.05399419 1.36765956
288.00000000 256.40929752 -526.46329192 -270.05399440 1.36751625
289.00000000 256.38304702 -526.43704265 -270.05399562 1.36737625
290.00000000 256.35739646 -526.41139330 -270.05399684 1.36723945
291.00000000 256.33233257 -526.38632931 -270.05399675 1.36710577
292.00000000 256.30784281 -526.36184204 -270.05399923 1.36697516
293.00000000 256.28391084 -526.33791024 -270.05399940 1.36684752
294.00000000 256.26051796 -526.31452038 -270.05400242 1.36672276
295.00000000 256.23764679 -526.29164730 -270.05400050 1.36660078
296.00000000 256.21527640 -526.26927808 -270.05400168 1.36648147
297.00000000 256.19338430 -526.24738715 -270.05400285 1.36636472
298.00000000 256.17195355 -526.22595755 -270.05400401 1.36625042
299.00000000 256.15096730 -526.20497246 -270.05400516 1.36613849
